cod_pluvio	num_stazione	stazione	lat	lon	id_cella_radar	i	j
12876	25200	Ponte S.maria	12,0216667862749	42,8958328271323	70226	147	146
12772	47200	Ponte Salario	12,5094345439084	41,9404816868371	121145	253	185
21070	247600	Pontecorvo	13,6658333553308	41,4527772119907	147161	307	281
12883	25300	Ponticelli	11,9690654840844	42,9308993230657	68302	143	142
23976	323600	Porta Portese	12,4714516198101	41,8816606366877	124022	259	182
15213	200800	Posticciola	12,9411187411849	42,233172617011	105341	220	221
13130	185400	Pratolungo	12,6001041056484	41,937325691273	121152	253	192
13170	3000	Regillo	12,7416667775328	41,8666670327299	125004	261	204
12804	140100	Rieti Idro	12,8719444584496	42,402775592182	96695	202	215
12936	79800	Ripalvella	12,300638814404	42,8431033092922	73129	153	169
13099	391200	Rocca Respampani	11,9330556137462	42,3830548874379	97578	204	138
12825	142900	Rocca Sinibalda	12,9175000201885	42,2838880832265	102939	215	219
21069	247500	Roccasecca	13,6486111083554	41,5355547936176	142839	298	279
13159	2500	Roma Est	12,5722222516438	41,919444227511	122110	255	190
12786	111600	Roma Macao	12,5089564497239	41,9050001566315	123065	257	185
13150	2000	Roma Nord	12,499999932	41,961111276	120184	251	184
13182	3600	Roma Sud	12,4194445250075	41,8111095017062	127857	267	177
20885	271400	S.ambrogio	13,8356944462706	41,4445278158279	147655	308	295
20922	271700	S.angelo Theodice	13,8258333964384	41,4130551731149	149574	312	294
18360	247000	S.apollinare	13,8305555167294	41,4027775388256	150055	313	295
12920	79400	S.benedetto Vecchio	12,440555525602	43,4194439382683	41941	88	181
12934	79300	S.biagio Della Valle	12,2802953970084	43,0162397457726	63527	133	167
21520	136500	S.castrese	13,8411111157732	41,2822221253987	156295	326	295
13205	75000	S.savino	12,1869612622086	43,1065003012297	58720	123	160
12945	79900	S.silvestro	12,6818465423864	42,7611558026211	77480	162	200
12782	45400	Sabaudia	13,0292962787106	41,2998888563531	155268	324	228
12828	143300	San Martino	12,9918562331052	42,3282276316575	100545	210	225
15231	201300	Sezze	13,0606278549092	41,4996269085846	144710	302	230
21519	136300	Sora	13,6152777973149	41,7219439236502	132756	277	276
27838	391300	Sorano Meteo	11,7194443516945	42,6833347433267	81241	170	121
15195	200200	Spoleto	12,7455553940227	42,755556239591	77485	162	205
13228	73800	Strada Prov.302	11,952777777739	43,1611111110524	55821	117	141
12809	140300	Subiaco	13,0920751394997	41,924393144724	122153	255	233
15219	201000	Subiaco-scolastica	13,1066665701753	41,9213908650286	122154	255	234
15171	199400	Tarquinia	11,7436352227989	42,2582326995227	104282	218	122
27246	354900	Terni	12,6507460560981	42,568401707058	87557	183	197
15240	201700	Terracina	13,258238248415	41,2880607444644	155767	325	247
12750	392100	Tivoli	12,7986111008056	41,9644460164612	119729	250	209
12910	26800	Todi	12,4099998852726	42,7863908149615	76017	159	177
13136	104900	Tor Vergata	12,6275931229923	41,8529820068465	125955	263	195
13091	391400	Torrita Tiberina	12,6214772263946	42,2363708068434	105314	220	194
15183	199800	Tuscania	11,8743155047074	42,4189615484343	95653	200	133
15192	200100	Umbertide	12,3399998984039	43,3105549499106	48172	101	172
13040	168200	Vallo Di Nera	12,8652069934747	42,7702475081032	77015	161	215
15228	201400	Velletri	12,7781041550814	41,6877817314917	134607	281	207
13161	2600	Via Marchi	12,4247223007804	41,9361103742146	121138	253	178
13234	73700	Villastrada	12,0111111110756	43,0472222221712	62065	130	145
12798	134600	Viterbo	12,106388979193	42,4197206193895	95672	200	152
